Berufsgruppe,Männer,Frauen
Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte,5400,5500
Akademische Berufe,9600,7800
Akademische und verwandte Gesundheitsberufe,10500,7700
Allgemeine Büro- und Sekretariatskräfte,6900,6300
Assistenzberufe im Gesundheitswesen,6400,6700
Bau- und Ausbaufachkräfte,6100,4200
Bediener stationärer Anlagen und Maschinen,6000,4500
Berufe im Bereich personenbezogener Dienstleistungen,4700,4400
Betreuungsberufe,5600,5300
Betriebswirte,8500,7500
Bürokräfte im Finanz- und Rechnungswesen,5500,5100
Bürokräfte mit Kundenkontakt,5300,5500
Dienstleistungsberufe und Verkäufer,6700,6900
Elektriker und Elektroniker,6100,6000
Fachkräfte in der Informations- und Kommunikationstechnologie,9800,8300
Fachkräfte in der Landwirtschaft,5200,4600
Fahrzeugführer und Bediener mobiler Anlagen,5600,5300
Führungskräfte,10200,8300
Führungskräfte im Gastgewerbe, Handel und sonst. Dienstleistungen,6100,4900
Führungskräfte im kaufmännischen Bereich,11900,9200
Führungskräfte in der Produktion und bei speziellen Dienstleistungen,10200,8400
Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete,11300,9200
Handwerkliche Fachkräfte,5700,4600
Handwerksberufe,6400,5600
Hilfsarbeiter im Bau, Warenprdouktion und Transport,5600,4700
Hilfsarbeitskräfte,6200,5000
Informations- und Kommunikationstechniker,7500,6200
Ingenieurtechnische Fachkräfte,7400,6300
Juristen, Sozialwissenschaftler und Kulturberufe,9500,8300
Juristische, sozialpflegerische und kulturelle Fachkräfte,7000,6300
Kaufmännische Fachkräfte und Verwaltungsfachkräfte,8100,6900
Lehrkräfte,8800,7800
Metallarbeiter, Mechaniker,6100,4800
Montageberufe,6200,5200
Naturwissenschaftler, Mathematiker und Ingenieure,8600,6700
Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe,6500,5400
Reinigungspersonal und Hilfskräfte,4500,4000
Schutzkräfte und Sicherheitsbedienstete,5100,5500
Sonstige Bürokräfte,4300,6100
Techniker,7600,6100
Verkaufskräfte,5600,4600
